Row,Column,Well,Plate,Sample,Measurement,Value,Mean,Std
A,3,A03,11938,2S-H_Glc,Meas A,375.0,307.5000,126.4239
A,4,A04,11938,1S-H_Glc,Meas A,358.0,318.5000,91.3072
A,5,A05,11938,3P-H_Glc,Meas A,384.0,315.7500,140.7228
A,6,A06,11938,2P-H_Glc,Meas A,278.0,317.2500,104.3468
A,7,A07,11938,1P-H_Glc,Meas A,415.0,320.5000,131.5358
A,8,A08,11938,3M-H_Glc,Meas A,362.0,294.7500,141.8929
A,9,A09,11938,2M-H_Glc,Meas A,341.0,266.7500,143.2303
A,10,A10,11938,1M-H_Glc,Meas A,328.0,318.5000,149.2124
A,11,A11,11938,Glc_Spc,Meas A,360.0,299.2500,110.9996
B,2,B02,11938,3S-H_CAA,Meas A,412.0,336.5000,141.9260
B,3,B03,11938,2S-H_CAA,Meas A,402.0,313.5000,151.5311
B,4,B04,11938,1S-H_CAA,Meas A,384.0,356.2500,98.8142
B,5,B05,11938,3P-H_CAA,Meas A,339.0,312.5000,139.4812
B,6,B06,11938,2P-H_CAA,Meas A,275.0,294.0000,113.9971
B,7,B07,11938,1P-H_CAA,Meas A,282.0,279.2500,106.1771
B,8,B08,11938,3M-H_CAA,Meas A,416.0,358.2500,106.7157
B,9,B09,11938,2M-H_CAA,Meas A,433.0,343.2500,154.9244
B,10,B10,11938,1M-H_CAA,Meas A,391.0,315.7500,103.8986
B,11,B11,11938,CAA_Spc,Meas A,342.0,317.0000,133.1115
C,2,C02,11938,3S-M_Glc,Meas A,423.0,347.5000,159.1153
C,3,C03,11938,2S-M_Glc,Meas A,365.0,325.5000,115.7425
C,4,C04,11938,1S-M_CAA,Meas A,311.0,300.5000,145.8687
C,5,C05,11938,3P-M_Glc,Meas A,324.0,309.5000,100.9967
C,6,C06,11938,2P-M_Glc,Meas A,433.0,338.0000,148.2093
C,7,C07,11938,1P-M_Glc,Meas A,340.0,324.0000,125.7961
C,8,C08,11938,3M-M_Glc,Meas A,407.0,327.0000,118.4370
C,9,C09,11938,2M-M_Glc,Meas A,354.0,347.7500,147.8814
C,10,C10,11938,1M-M_Glc,Meas A,353.0,328.5000,158.1697
C,11,C11,11938,Glc,Meas A,391.0,314.2500,157.3391
D,2,D02,11938,3S-M_CAA,Meas A,390.0,304.2500,151.8055
D,3,D03,11938,2S-M_CAA,Meas A,392.0,325.0000,140.0238
D,4,D04,11938,1S-M_Glc,Meas A,372.0,317.0000,135.8111
D,5,D05,11938,3P-M_CAA,Meas A,377.0,337.7500,124.2481
D,6,D06,11938,2P-M_CAA,Meas A,405.0,351.7500,177.9558
D,7,D07,11938,1P-M_CAA,Meas A,427.0,310.2500,171.4592
D,8,D08,11938,3M-M_CAA,Meas A,336.0,321.0000,126.0238
D,9,D09,11938,2M-M_CAA,Meas A,388.0,325.7500,106.0515
D,10,D10,11938,1M-M_CAA,Meas A,370.0,360.7500,162.0563
D,11,D11,11938,CAA,Meas A,348.0,314.5000,142.6149
E,2,E02,11938,3S-O_Glc,Meas A,320.0,328.2500,132.4950
E,3,E03,11938,2S-O_Glc,Meas A,295.0,282.2500,121.1483
E,4,E04,11938,1S-O_Glc,Meas A,386.0,335.7500,130.0035
E,5,E05,11938,3P-O_Glc,Meas A,378.0,325.5000,129.6521
E,6,E06,11938,2P-O_Glc,Meas A,415.0,348.7500,128.6918
E,7,E07,11938,1P-O_Glc,Meas A,293.0,304.0000,106.1854
E,8,E08,11938,3M-O_Glc,Meas A,357.0,323.7500,144.4239
E,9,E09,11938,2M-O_Glc,Meas A,340.0,297.5000,134.6365
